formulationCode,formulationName,productCode,productName,targetMass,totalMass,uom,totalIngredient,status,mustFollowOrder,min,max,toleranceGroupingName,toleranceType,maxAllowedWeighingQty,implementToleranceGrouping,instruction
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00255,YOGHURT N7S8006,40,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00254,YOGHURT M4B2149,80,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00127,PISANG C8J3013,2,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00128,PISANG D9C4001,20,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00165,SUSU E1S6116,40,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00150,SOUR A6H1016,40,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00169,SWEETNER A6H1010,60,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00047,COOLING N7S8024,160,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00138,SALTNIC A6H1007,120,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
MIXING - FROOZY BANANA BLISS,MIXING - FROOZY BANANA BLISS,RMLIQ00131,PROPYLENE GLYCOL (PG),38,1000,g,11,active,FALSE,0,0,timbanganKecil,mass,5000,TRUE,-
